strategy_name,model_name,prompt_version,question_id,competition_id,level,predicted_option_id,correct_option_id,correct,confidence,latency_ms,generated_answer,Category,correct_bool,correct_int
wiki_rag,phi4-14b,news_rag/v2-articles,10282,5,9,3,1,False,0.8,10244,False,News,False,0
wiki_rag,phi4-14b,news_rag/v2-articles,10283,5,6,1,1,True,0.7,8854,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10290,5,1,0,0,True,0.0,9163,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10291,5,2,2,2,True,90.0,6962,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10295,5,1,1,0,False,0.7,9254,False,News,False,0
wiki_rag,phi4-14b,news_rag/v2-articles,10306,5,1,0,1,False,0.9,7892,False,News,False,0
wiki_rag,phi4-14b,news_rag/v2-articles,10314,5,6,3,3,True,0.7,7392,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10316,5,2,2,0,False,0.7,9866,False,News,False,0
wiki_rag,phi4-14b,news_rag/v2-articles,10319,5,3,0,0,True,0.6,11611,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10324,5,15,1,2,False,0.8,8535,False,News,False,0
wiki_rag,phi4-14b,news_rag/v2-articles,10333,5,4,2,0,False,0.9,9850,False,News,False,0
wiki_rag,phi4-14b,news_rag/v2-articles,10345,5,3,0,2,False,0.2,9125,False,News,False,0
wiki_rag,phi4-14b,news_rag/v2-articles,10347,5,7,3,3,True,0.7,8666,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10350,5,2,2,1,False,0.7,8328,False,News,False,0
wiki_rag,phi4-14b,news_rag/v2-articles,10355,5,1,1,0,False,0.3,9121,False,News,False,0
wiki_rag,phi4-14b,news_rag/v2-articles,10358,5,6,3,3,True,0.8,8921,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10362,5,1,0,0,True,0.2,7401,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10363,5,2,0,2,False,0.0,9202,False,News,False,0
wiki_rag,phi4-14b,news_rag/v2-articles,10371,5,9,1,1,True,0.8,7994,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10374,5,2,3,1,False,3.0,9617,False,News,False,0
wiki_rag,phi4-14b,news_rag/v2-articles,10380,5,1,0,0,True,0.3,9496,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10388,5,1,0,0,True,4.0,7688,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10394,5,5,1,1,True,0.7,10820,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10416,5,1,2,2,True,0.7,9909,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10417,5,6,1,1,True,0.8,7176,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10420,5,1,2,2,True,0.6,9471,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10425,5,1,0,0,True,0.0,9653,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10427,5,6,0,0,True,0.8,8108,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10446,5,5,3,3,True,0.7,8866,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10450,5,1,0,3,False,0.7,10773,False,News,False,0
wiki_rag,phi4-14b,news_rag/v2-articles,10453,5,2,1,1,True,0.9,7245,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10454,5,1,0,0,True,0.8,11000,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10455,5,10,0,0,True,0.8,11762,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10459,5,12,0,3,False,0.7,7536,False,News,False,0
wiki_rag,phi4-14b,news_rag/v2-articles,10466,5,4,3,3,True,0.7,9485,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10478,5,2,0,0,True,0.8,9143,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10481,5,3,3,0,False,0.7,8592,False,News,False,0
wiki_rag,phi4-14b,news_rag/v2-articles,10485,5,2,0,0,True,0.8,10520,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10497,5,2,0,0,True,0.8,7500,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10500,5,7,0,0,True,0.8,9703,False,News,True,1
wiki_rag,phi4-14b,news_rag/v2-articles,10505,5,3,3,3,True,0.7,10040,False,News,True,1
