strategy_name,model_name,prompt_version,question_id,competition_id,level,predicted_option_id,correct_option_id,correct,confidence,latency_ms,generated_answer,Category,correct_bool,correct_int,Status
calc_react,granite-8b,v2,6642,3,11,0,0,True,1.0,6226,False,Math,True,1,Correct
calc_react,granite-8b,v2,6643,3,3,3,3,True,1.0,8769,False,Math,True,1,Correct
calc_react,granite-8b,v2,6644,3,2,2,2,True,1.0,4469,False,Math,True,1,Correct
calc_react,granite-8b,v2,6645,3,2,3,3,True,1.0,7677,False,Math,True,1,Correct
calc_react,granite-8b,v2,6646,3,3,0,0,True,1.0,10957,False,Math,True,1,Correct
calc_react,granite-8b,v2,6647,3,4,1,3,False,0.9,12121,False,Math,False,0,Incorrect
calc_react,granite-8b,v2,6648,3,1,3,3,True,1.0,5914,False,Math,True,1,Correct
calc_react,granite-8b,v2,6649,3,1,2,2,True,1.0,18817,False,Math,True,1,Correct
calc_react,granite-8b,v2,6650,3,6,0,0,True,1.0,10938,False,Math,True,1,Correct
calc_react,granite-8b,v2,6651,3,2,3,3,True,1.0,6562,False,Math,True,1,Correct
calc_react,granite-8b,v2,6652,3,3,0,0,True,1.0,13417,False,Math,True,1,Correct
calc_react,granite-8b,v2,6654,3,1,2,2,True,1.0,6729,False,Math,True,1,Correct
calc_react,granite-8b,v2,6655,3,5,1,1,True,1.0,7278,False,Math,True,1,Correct
calc_react,granite-8b,v2,6656,3,2,2,2,True,0.9,12253,False,Math,True,1,Correct
calc_react,granite-8b,v2,6657,3,8,1,2,False,1.0,5008,False,Math,False,0,Incorrect
calc_react,granite-8b,v2,6658,3,5,2,2,True,1.0,17488,False,Math,True,1,Correct
calc_react,granite-8b,v2,6659,3,2,0,0,True,1.0,4241,False,Math,True,1,Correct
calc_react,granite-8b,v2,6661,3,10,1,1,True,1.0,10896,False,Math,True,1,Correct
calc_react,granite-8b,v2,6662,3,1,2,2,True,1.0,6799,False,Math,True,1,Correct
calc_react,granite-8b,v2,6663,3,2,1,2,False,0.95,7333,False,Math,False,0,Incorrect
calc_react,granite-8b,v2,6664,3,3,2,2,True,1.0,7689,False,Math,True,1,Correct
calc_react,granite-8b,v2,6665,3,2,0,0,True,1.0,7243,False,Math,True,1,Correct
calc_react,granite-8b,v2,6666,3,1,3,3,True,1.0,8916,False,Math,True,1,Correct
calc_react,granite-8b,v2,6667,3,2,0,0,True,1.0,4770,False,Math,True,1,Correct
calc_react,granite-8b,v2,6668,3,4,3,3,True,1.0,11333,False,Math,True,1,Correct
calc_react,granite-8b,v2,6669,3,3,1,1,True,1.0,5529,False,Math,True,1,Correct
calc_react,granite-8b,v2,6670,3,2,2,2,True,1.0,6213,False,Math,True,1,Correct
calc_react,granite-8b,v2,6671,3,3,1,1,True,1.0,8757,False,Math,True,1,Correct
calc_react,granite-8b,v2,6672,3,2,2,2,True,1.0,10951,False,Math,True,1,Correct
